ICD10	phecode
A00	008
A00.0	008
A00.1	008
A00.9	008
A01	008
A01.0	008
A01.1	008
A01.2	008
A01.3	008
A01.4	008
A02	008
A02.0	008
A02.1	008
A02.2	008
A02.8	008
A02.9	008
A03	008
A03.0	008
A03.1	008
A03.2	008
A03.3	008
A03.8	008
A03.9	008
A04.0	008
A04.1	008
A04.2	008
A04.3	008
A04.4	008
A04.5	008
A04.6	008
A04.7	008
A04.8	008
A04.9	008
A05.0	008
A05.1	008
A05.2	008
A05.3	008
A05.4	008
A05.8	008
A05.9	008
A06	008
A06.0	008
A06.1	008
A06.2	008
A06.3	008
A06.4	008
A06.5	008
A06.6	008
A06.7	008
A06.8	008
A06.9	008
A07	008
A07.0	008
A07.1	008
A07.2	008
A07.3	008
A07.8	008
A07.9	008
A08	008
A08.0	008
A08.1	008
A08.2	008
A08.3	008
A08.4	008
A08.5	008
A09	008
A09.0	008
A09.9	008
A21.3	008
A22.2	008
A01.0	008.5
A02	008.5
A02.0	008.5
A02.1	008.5
A02.2	008.5
A02.8	008.5
A02.9	008.5
A03	008.5
A03.0	008.5
A03.1	008.5
A03.2	008.5
A03.3	008.5
A03.8	008.5
A03.9	008.5
A04.0	008.5
A04.1	008.5
A04.2	008.5
A04.3	008.5
A04.4	008.5
A04.5	008.5
A04.6	008.5
A04.7	008.5
A04.8	008.5
A04.9	008.5
A05.0	008.5
A05.1	008.5
A05.2	008.5
A05.3	008.5
A05.4	008.5
A05.8	008.5
A04.0	008.51
A04.1	008.51
A04.2	008.51
A04.3	008.51
A04.4	008.51
A04.7	008.52
A08	008.6
A08.0	008.6
A08.1	008.6
A08.2	008.6
A08.3	008.6
A08.4	008.6
A08.5	008.6
A06.1	008.7
A07.0	008.7
A07.1	008.7
A07.2	008.7
A07.8	008.7
A15.0	010
A15.1	010
A15.2	010
A15.3	010
A15.4	010
A15.5	010
A15.6	010
A15.7	010
A16	010
A16.0	010
A16.1	010
A16.2	010
A16.3	010
A16.4	010
A16.5	010
A16.7	010
A16.8	010
A16.9	010
A17	010
A17.0	010
A17.1	010
A17.8	010
A17.9	010
A18	010
A18.0	010
A18.1	010
A18.2	010
A18.3	010
A18.4	010
A18.5	010
A18.6	010
A18.7	010
A18.8	010
A19	010
A19.0	010
A19.1	010
A19.2	010
A19.8	010
A19.9	010
B90	010
B90.0	010
B90.1	010
B90.2	010
B90.8	010
B90.9	010
K67.3	010
M01.1	010
M01.10	010
M01.11	010
M01.12	010
M01.13	010
M01.14	010
M01.15	010
M01.16	010
M01.17	010
M01.18	010
M01.19	010
M49.0	010
M49.00	010
M49.01	010
M49.02	010
M49.03	010
M49.04	010
M49.05	010
M49.06	010
M49.07	010
M49.08	010
M49.09	010
M90.0	010
M90.00	010
M90.01	010
M90.02	010
M90.03	010
M90.04	010
M90.05	010
M90.06	010
M90.07	010
M90.08	010
M90.09	010
N33.0	010
N74.1	010
A30	031
A30.0	031
A30.1	031
A30.2	031
A30.3	031
A30.4	031
A30.5	031
A30.8	031
A30.9	031
A31.8	031
A31.9	031
A30	031.1
A30.0	031.1
A30.1	031.1
A30.2	031.1
A30.3	031.1
A30.4	031.1
A30.5	031.1
A30.8	031.1
A30.9	031.1
A02.1	038
A20.7	038
A22.7	038
A39.2	038
A39.3	038
A39.4	038
A40	038
A40.0	038
A40.1	038
A40.2	038
A40.3	038
A40.8	038
A40.9	038
A41.0	038
A41.1	038
A41.2	038
A41.3	038
A41.4	038
A41.5	038
A41.8	038
A41.9	038
B00.7	038
A02.1	038.1
A20.7	038.1
A39.2	038.1
A39.3	038.1
A39.4	038.1
A40	038.1
A40.0	038.1
A40.1	038.1
A40.2	038.1
A40.3	038.1
A40.8	038.1
A40.9	038.1
A41.3	038.1
A41.5	038.1
A22.7	038.2
A40.3	038.2
A41.0	038.2
A41.1	038.2
A41.2	038.2
A15.9	041
A20	041
A20.0	041
A20.1	041
A20.2	041
A20.3	041
A20.7	041
A20.8	041
A20.9	041
A21	041
A21.0	041
A21.1	041
A21.2	041
A21.3	041
A21.7	041
A21.8	041
A21.9	041
A22	041
A22.0	041
A22.1	041
A22.2	041
A22.7	041
A22.8	041
A22.9	041
A23	041
A23.0	041
A23.1	041
A23.2	041
A23.3	041
A23.8	041
A23.9	041
A24	041
A24.0	041
A24.1	041
A24.2	041
A24.3	041
A24.4	041
A25	041
A25.0	041
A25.1	041
A25.9	041
A26	041
A26.0	041
A26.7	041
A26.8	041
A26.9	041
A28.0	041
A28.2	041
A28.8	041
A28.9	041
A32	041
A32.0	041
A32.1	041
A32.7	041
A32.8	041
A32.9	041
A35	041
A36	041
A36.0	041
A36.1	041
A36.2	041
A36.3	041
A36.8	041
A36.9	041
A37	041
A37.0	041
A37.1	041
A37.8	041
A37.9	041
A38	041
A39	041
A39.0	041
A39.1	041
A39.2	041
A39.3	041
A39.4	041
A39.5	041
A39.8	041
A39.9	041
A42	041
A42.0	041
A42.1	041
A42.2	041
A42.7	041
A42.8	041
A42.9	041
A43	041
A43.0	041
A43.1	041
A43.8	041
A43.9	041
A48.0	041
A48.2	041
A48.3	041
A48.4	041
A48.8	041
A49	041
A49.0	041
A49.1	041
A49.2	041
A49.3	041
A49.8	041
A49.9	041
B47	041
B47.0	041
B47.1	041
B47.9	041
B95.0	041
B95.1	041
B95.2	041
B95.3	041
B95.4	041
B95.5	041
B95.6	041
B95.7	041
B95.8	041
B96.2	041
B96.3	041
B96.4	041
B96.5	041
B96.6	041
B96.7	041
B96.8	041
I00	041
I02	041
I02.0	041
I02.9	041
J20.0	041
J20.2	041
M00.0	041
M00.00	041
M00.01	041
M00.02	041
M00.03	041
M00.04	041
M00.05	041
M00.06	041
M00.07	041
M00.08	041
M00.09	041
M00.1	041
M00.10	041
M00.11	041
M00.12	041
M00.13	041
M00.14	041
M00.15	041
M00.16	041
M00.17	041
M00.18	041
M00.19	041
M00.2	041
M00.20	041
M00.21	041
M00.22	041
M00.23	041
M00.24	041
M00.25	041
M00.26	041
M00.27	041
M00.28	041
M00.29	041
A49.0	041.1
B95.6	041.1
B95.7	041.1
B95.8	041.1
M00.0	041.1
M00.00	041.1
M00.01	041.1
M00.02	041.1
M00.03	041.1
M00.04	041.1
M00.05	041.1
M00.06	041.1
M00.07	041.1
M00.08	041.1
M00.09	041.1
A38	041.2
A49.1	041.2
B95.0	041.2
B95.1	041.2
B95.2	041.2
B95.3	041.2
B95.4	041.2
B95.5	041.2
I00	041.2
I02	041.2
I02.0	041.2
I02.9	041.2
J20.2	041.2
M00.2	041.2
M00.20	041.2
M00.21	041.2
M00.22	041.2
M00.23	041.2
M00.24	041.2
M00.25	041.2
M00.26	041.2
M00.27	041.2
M00.28	041.2
M00.29	041.2
I00	041.21
I02	041.21
I02.0	041.21
I02.9	041.21
B96.2	041.4
B02	053
B02.0	053
B02.1	053
B02.2	053
B02.3	053
B02.7	053
B02.8	053
B02.9	053
G53.0	053
B02.2	053.1
G53.0	053.1
A60	054
A60.0	054
A60.1	054
A60.9	054
B00	054
B00.0	054
B00.1	054
B00.2	054
B00.3	054
B00.4	054
B00.5	054
B00.7	054
B00.8	054
B00.9	054
B08.2	054
B15.0	070
B15.9	070
B16	070
B16.0	070
B16.1	070
B16.2	070
B16.9	070
B17.0	070
B17.1	070
B17.2	070
B17.8	070
B18	070
B18.0	070
B18.1	070
B18.2	070
B18.8	070
B18.9	070
B19	070
B19.0	070
B19.9	070
B25.1	070
Z22.5	070
B15.0	070.1
B15.9	070.1
B16	070.2
B16.0	070.2
B16.1	070.2
B16.2	070.2
B16.9	070.2
B18.0	070.2
B18.1	070.2
B17.1	070.3
B18.2	070.3
K73	070.4
K73.0	070.4
K73.1	070.4
K73.2	070.4
K73.8	070.4
K73.9	070.4
K75.4	070.4
K71	070.9
K71.0	070.9
K71.1	070.9
K71.2	070.9
K71.3	070.9
K71.4	070.9
K71.5	070.9
K71.6	070.9
K71.7	070.9
K71.8	070.9
K71.9	070.9
K75.2	070.9
K75.3	070.9
K75.8	070.9
K75.9	070.9
K76.4	070.9
B20.0	071
B20.1	071
B20.2	071
B20.3	071
B20.6	071
B20.8	071
B21.1	071
B21.2	071
B21.3	071
B21.8	071
B22.7	071
B23.2	071
B23.8	071
B24	071
B20.0	071.1
B20.1	071.1
B20.2	071.1
B20.3	071.1
B20.6	071.1
B20.8	071.1
B21.1	071.1
B21.2	071.1
B21.3	071.1
B21.8	071.1
B22.7	071.1
B23.2	071.1
B23.8	071.1
B24	071.1
A63.0	078
B07	078
A28.1	079
A70	079
A74	079
A74.0	079
A74.8	079
A74.9	079
A82	079
A82.0	079
A82.1	079
A82.9	079
A90	079
A91	079
A92	079
A92.0	079
A92.1	079
A92.2	079
A92.3	079
A92.4	079
